Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
7/2/2023 15:26:12,John P - gokuorgohome#51511,Lotte P - Lotte #93345,2-1,,1,,,,,,
7/2/2023 15:37:33,Blake R - Trogdorr#20061,Paul G - TheDragon#61289,2-0,,1,,,,,,
7/2/2023 15:46:36,Sean Sp - Talrand#06333,Nicholas K - Bionick#55161,2-0,,1,,,,,,
7/2/2023 15:57:13,John P - gokuorgohome#51511,Paul G - TheDragon#61289,2-1,,1,,,,,,
7/2/2023 16:04:29,Sean Sp - Talrand#06333,Mike P - unwieldybiscuit#26471,2-0,,1,,,,,,
7/2/2023 16:08:47,Reed P - bigfingsnake#86869,Caleb K - BlackEcho#09078,2-0,,1,,,,,,
7/2/2023 16:12:23,Jeremy E - Lhurgoyf#37289,Rafael F - Prudent#24319,2-1,,1,,,,,,
7/2/2023 16:33:38,Reed P - bigfingsnake#86869,Paul G - TheDragon#61289,2-1,,1,,,,,,
7/2/2023 18:12:14,Emmett F - Sepulchure#51526,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,
7/2/2023 18:33:26,Emmett F - Sepulchure#51526,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,
7/2/2023 19:40:52,Drake M - KoMODO#43282,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,
7/2/2023 19:42:20,Nik S - njsiii#50504,Jacob V - Drysle#29533,2-1,,1,,,,,,
7/2/2023 19:50:37,Maranda L - blackcanary#59791,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,,,
7/2/2023 20:14:28,Nik S - njsiii#50504,Mike P - unwieldybiscuit#26471,2-0,,1,,,,,,
7/2/2023 20:23:24,Jacob V - Drysle#29533,Drake M - KoMODO#43282,2-1,,1,,,,,,
7/2/2023 21:20:39,Drake M - KoMODO#43282,Adam S - wizma#29010,2-1,,1,,,,,,
7/2/2023 23:11:13,Caleb K - BlackEcho#09078,Wei C - Azayaka#83352,2-1,,1,,,,,,
