Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
1/14/2023 19:12:42,Jordan M - JMTron#46639,Chris Y - Yorke on Games#66909,2-0,,1,,,
1/14/2023 19:23:03,Evan C - PeasOfCrab#00133,Michael M - Atombomb11991#07305,2-0,,1,,,
1/14/2023 19:31:44,Jonathan R - Jraps#79124,Serge T - Sergyboy514#39979,2-1,,1,,,
1/14/2023 20:49:27,Zach C - ZachCarr#31881,Michael M - Atombomb11991#07305,2-1,,1,,,
1/14/2023 23:15:30,Noah B - Sisco#71800,Evan C - PeasOfCrab#00133,2-1,,1,,,
1/14/2023 23:41:21,Trevor F - treskies#75643,Evan C - PeasOfCrab#00133,2-0,,1,,,
1/15/2023 9:13:17,Adam S - wizma#29010,Noel S - Stopgap#13873,2-0,,1,Good games ,,
1/15/2023 11:05:37,Noah B - Sisco#71800,Amir A - HowDoesOneChoose#47480,2-0,,1,,,
1/15/2023 11:34:05,Amir A - HowDoesOneChoose#47480,Oskar T - ossytubbi#87966,2-0,,1,,,
1/15/2023 11:39:38,Richard K - preacher26#59445,John R - Ged#72302,2-1,,1,,,
1/15/2023 12:54:12,John R - Ged#72302,Serge T - Sergyboy514#39979,2-1,,1,ggs,,
1/15/2023 13:50:01,Daniel G - FriskyHobbit#43185,Evan C - PeasOfCrab#00133,2-0,,1,,,
1/15/2023 13:58:01,Maranda L - BlackCanary#59791,Christopher S - Stemz#96067,2-1,,1,,,
1/15/2023 14:16:03,Ryan D - TheSlickness#10857,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,
1/15/2023 15:06:37,Adam S - wizma#29010,Richard K - preacher26#59445,2-0,,1,,,
1/15/2023 15:24:49,Christopher S - Stemz#96067,Oskar T - ossytubbi#87966,2-1,,1,gg,,
1/15/2023 15:45:26,Jeremy E - Lhurgoyf#37289,Oskar T - ossytubbi#87966,2-0,,1,,,
1/15/2023 15:50:47,Noah B - Sisco#71800,Duran V - SuperD#94636,2-1,,1,,,
