Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
4/28/2023 12:48:41,Trent B - Edgelord42069#62642,Adam D - Adam#54521,2-0,,1,,AKR,,
4/28/2023 13:51:41,Russell S - rstad#89052,Adam D - Adam#54521,2-0,,1,,ELD,,
4/28/2023 14:23:28,Adam D - Adam#54521,Joe T - elasticity#07466,2-1,,1,,MOM,,
4/28/2023 15:06:18,Joe T - elasticity#07466,Cody M - DeadheadCody#60535,2-0,,1,,ONE,,
4/28/2023 15:58:52,Cody M - DeadheadCody#60535,Doug Co - daceris#24713,2-0,,1,,MOM,,
4/28/2023 17:25:03,Ryan D - TheSlickness#10857,Steve T - strout#45062,2-0,,1,,MOM,,
4/28/2023 17:45:15,Cody-Rayce MG - Rayce#56572,Paul G - TheDragon#61289,2-0,,1,ggs,MOM,,
4/28/2023 17:56:47,Dan A - BEATDOWNBRINGA#04779,Paul G - TheDragon#61289,2-0,,1,,MOM,,
4/28/2023 18:18:40,Ryan D - TheSlickness#10857,John P - gokuorgohome#51511,2-1,,1,,MOM,,
4/28/2023 18:19:38,Cody-Rayce MG - Rayce#56572,Dan A - BEATDOWNBRINGA#04779,2-0,,1,ggs,MOM,,
4/28/2023 19:13:10,John P - gokuorgohome#51511,Paul G - TheDragon#61289,2-1,,1,,BRO,,
4/28/2023 19:57:49,Cody-Rayce MG - Rayce#56572,Zeke W - smarmyplatapus#30066,2-1,,1,ggs!,STX,,
4/28/2023 20:13:16,Rafael F - Prudent#24319,Dan K - Fizishy#82483,2-0,,1,,MOM,,
4/28/2023 20:32:46,Cody-Rayce MG - Rayce#56572,Matthew K - Tortag#62633,2-1,,1,ggs wp,STX,,
4/28/2023 20:57:47,Caleb G - Whynaut#28590,Bob P - HIT#08120,2-0,,1,,STX,,
4/28/2023 21:00:19,Zeke W - smarmyplatapus#30066,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,MOM,,
4/28/2023 21:09:12,Chris Y - Yorke on Games#66909,Dan K - Fizishy#82483,2-0,,1,Back to MOM!,MOM,,
4/28/2023 21:14:14,Daniel G - FriskyHobbit#43185,Wyatt C - hotdolphin#30769,2-0,,1,,DMU,,
4/28/2023 21:27:04,Zeke W - smarmyplatapus#30066,Caleb G - Whynaut#28590,2-1,,1,,MOM,,
4/28/2023 21:40:08,Bob P - HIT#08120,Chris Y - Yorke on Games#66909,2-0,,1,,DMU,,
4/28/2023 21:58:09,Daniel G - FriskyHobbit#43185,Matthew K - Tortag#62633,2-0,,1,,MOM,,
4/28/2023 22:00:59,Wyatt C - hotdolphin#30769,Sawyer T - soyboy#35469,2-1,,1,,MOM,,
4/28/2023 22:26:55,Nicholas K - Bionick#55161,Chris Y - Yorke on Games#66909,2-0,,1,,STX,,
4/28/2023 22:33:16,Wesley K - weslars#49889,Matthew K - Tortag#62633,2-1,,1,,MOM,,
4/28/2023 22:44:19,Wyatt C - hotdolphin#30769,Joe T - elasticity#07466,2-1,,1,,MOM,,
4/28/2023 22:50:53,Daniel G - FriskyHobbit#43185,Caleb G - Whynaut#28590,2-1,,1,,MOM,,
4/28/2023 23:04:27,Wesley K - weslars#49889,Nicholas K - Bionick#55161,2-1,,1,,MOM,,
4/28/2023 23:24:39,Wyatt C - hotdolphin#30769,Nicholas K - Bionick#55161,2-0,,1,,M19,,
4/28/2023 23:31:00,Chris Y - Yorke on Games#66909,Matthew K - Tortag#62633,2-0,,1,GGs!,STX,,
4/28/2023 23:32:17,Caleb G - Whynaut#28590,Steve T - strout#45062,2-1,,1,,MOM,,
4/29/2023 0:03:14,Caleb G - Whynaut#28590,Sylvain T - Iquitos#15484,2-0,,1,,STX,,
4/29/2023 0:20:32,Matthew K - Tortag#62633,Steve T - strout#45062,2-0,,1,,MOM,,
4/29/2023 0:50:04,Drake M - KoMODO#43282,Wyatt C - hotdolphin#30769,2-1,,1,,DMU,,
4/29/2023 1:04:05,Sawyer T - soyboy#35469,Philip B - Plipster#75000,2-0,,1,,MOM,,
4/29/2023 1:10:06,Johnny M - Johnny#69519,Pedro D - Goombassa#17203,2-0,,1,,MOM,,
4/29/2023 1:11:07,Wesley K - weslars#49889,Paul G - TheDragon#61289,2-0,,1,,MOM,,
4/29/2023 1:34:57,Paul G - TheDragon#61289,Steve T - strout#45062,2-1,,1,,MOM,,
4/29/2023 1:53:03,Sawyer T - soyboy#35469,Wesley K - weslars#49889,2-0,,1,,MOM,,
4/29/2023 1:56:12,Philip B - Plipster#75000,Johnny M - Johnny#69519,2-1,,1,,MOM,,
4/29/2023 2:30:01,Stephen W - Biceps_Inc#28236,Philip B - Plipster#75000,2-1,,1,,MOM,,
4/29/2023 2:53:37,Warren M - LinkThePlaneswalker33#61905,Pedro D - Goombassa#17203,2-0,,1,,MOM,,
4/29/2023 3:24:09,Philip B - Plipster#75000,Wesley K - weslars#49889,2-0,,1,,MOM,,
4/29/2023 9:53:44,Johnny M - Johnny#69519,Bob P - HIT#08120,2-0,,1,,DMU,,
4/29/2023 11:10:52,Lotte P - Lotte #93345,Cody M - DeadheadCody#60535,2-0,,1,,DMU,,
4/29/2023 11:50:03,Lotte P - Lotte #93345,Jeremy E - Lhurgoyf#37289,2-0,,1,,STX,,
4/29/2023 11:54:01,Adam S - wizma#29010,Cody M - DeadheadCody#60535,2-0,,1,Good games!,MOM,,
