Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
10/29/2023 18:27:42,Wei C - Azayaka#83352,Lotte P - Lotte #93345,2-1,,1,,,,,,,,
10/29/2023 18:37:26,Philip B - Plipster#75000,David Z - zyqxD#77167,2-0,,1,,,,,,,,
10/29/2023 18:40:35,Jacob V - Drysle#29533,Chris R - Sinkwater#27508,2-1,,1,,,,,,,,
10/29/2023 19:29:43,David Z - zyqxD#77167,Wei C - Azayaka#83352,2-1,,1,GGs,,,,,,,
10/29/2023 20:06:55,David Z - zyqxD#77167,Emmett F - Sepulchure#51526,2-1,,1,GG really close g3!,,,,,,,
10/29/2023 20:29:35,Chris R - Sinkwater#27508,Robert M - LaughItUp#38462,2-0,,1,,,,,,,,
10/29/2023 20:49:38,Chris R - Sinkwater#27508,David Z - zyqxD#77167,2-0,,1,,,,,,,,
10/29/2023 21:34:17,Evan C - PeasOfCrab#00133,Michael C - Kentari#73068,2-1,,1,,,,,,,,
10/29/2023 21:36:25,Chris R - Sinkwater#27508,Colton S - Coltoncooper#56958,2-1,,1,,,,,,,,
10/29/2023 22:08:22,Michael C - Kentari#73068,Emmett F - Sepulchure#51526,2-1,,1,ggs,,,,,,,
10/29/2023 22:18:51,Mitchel S - SpaghettiMitch#18619,Colton S - Coltoncooper#56958,2-1,,1,,,,,,,,
10/29/2023 22:52:29,Colton S - Coltoncooper#56958,Emmett F - Sepulchure#51526,2-0,,1,,,,,,,,
10/29/2023 23:31:36,Sawyer T - soyboy#35469,Evan C - PeasOfCrab#00133,2-1,,1,,,,,,,,
10/29/2023 23:41:42,Michael C - Kentari#73068,Ryan D - TheSlickness#10857,2-1,,1,ggs,,,,,,,
10/29/2023 23:42:41,Cody-Rayce MG - rayce#56572,Sylvain T - Iquitos#15484,2-1,,1,ggs buddy :) close ones!,,,,,,,
10/29/2023 23:47:45,Emmett F - Sepulchure#51526,Caleb K - BlackEcho#09078,2-0,,1,,,,,,,,
10/30/2023 0:04:26,Michael C - Kentari#73068,Sawyer T - soyboy#35469,2-1,,1,ggs,,,,,,,
10/30/2023 0:12:56,Jaidin M - MnemonicDevice#38774,Evan C - PeasOfCrab#00133,2-0,,1,,,,,,,,
10/30/2023 1:00:34,Sawyer T - soyboy#35469,Justin P - Code Pigeon#84057,2-0,,1,,,,,,,,
10/30/2023 7:36:35,Colton S - Coltoncooper#56958,Nik S - njsiii#50504,2-1,,1,,,,,,,,
10/30/2023 9:09:31,Thijn H - Thi-Jin#83537,John R - Ged#72302,2-0,,1,,,,,,,,
10/30/2023 14:21:35,Jordan M - JMTron#46639,James S - Zoid#33631,2-0,,1,,,,,,,,
10/30/2023 14:43:34,James S - Zoid#33631,Cody-Rayce MG - rayce#56572,2-0,,1,,,,,,,,
10/30/2023 15:01:52,Chris Y - Yorke on Games#66909,Chris P - Joker01#66827,2-1,,1,Dinos v Pirates!,,,,,,,
10/30/2023 15:21:07,Chris Y - Yorke on Games#66909,Eric S - Smitte#94855,2-1,,1,Pirates v Pirates!,,,,,,,
10/30/2023 15:47:09,Jordan M - JMTron#46639,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,,,
10/30/2023 16:55:31,Noah B - Sisco#71800,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,,,
10/30/2023 17:24:45,Chris Y - Yorke on Games#66909,Jondrion J - jondrion#40531,2-0,,1,Ascension!,,,,,,,
10/30/2023 18:26:08,Dan A - BEATDOWNBRINGA#04779,Jordan M - JMTron#46639,2-0,,1,,,,,,,,
10/30/2023 18:46:52,Thijn H - Thi-Jin#83537,Evan C - PeasOfCrab#00133,2-1,,1,,,,,,,,
10/30/2023 19:24:58,Dan A - BEATDOWNBRINGA#04779,Christopher G - oompaloompa#65002,2-0,,1,,,,,,,,
10/30/2023 21:42:40,Caleb K - BlackEcho#09078,Wyatt C - hotdolphin#30769,2-0,,1,Go Dinos!,,,,,,,
