Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Was this a field stip match? ,Comeback Pack,Script Handled,Bot Messaged,Reward Selected
5/27/2025 12:35:52,Adam E - adamend#97520,Stephen H - Crayth#38098,2-0,,,,No,BRO,1,1,
5/27/2025 12:53:41,Ryan M - rrrn22#32842,Alex H - Merriman#08092,2-0,,,,No,MID,1,1,
5/27/2025 13:46:05,Cameron B - KingEggbert#01276,Matthias H - Rezreh#11308,2-0,,,ggs!,No,NEO,1,1,
5/27/2025 14:21:52,Nicholas H - JetPilot#02453,Adam E - adamend#97520,2-1,,,,Yes,NEO,1,1,
5/27/2025 16:01:09,Chris P - Joker01#66827,Matt S - mullethunter324#49693,2-1,,,,No,MID,1,1,
5/27/2025 16:14:42,Cameron B - KingEggbert#01276,Jordan M - JMTron#46639,2-1,,,GGs!,No,MID,1,1,
5/27/2025 16:42:38,Alexis M - Alexsfly#67052,Ben M - cardmaaster#84341,2-0,,,,No,BRO,1,1,
5/27/2025 16:45:09,Matt S - mullethunter324#49693,Keelan T - Dufel#75965,2-1,,,,No,STX,1,1,
5/27/2025 17:01:00,Stephen H - Crayth#38098,Renaud C - ArExSea#25399,2-0,,,,No,MID,1,1,
5/27/2025 17:04:40,Paul R - QildorCrana#01941,Matt S - mullethunter324#49693,2-1,,,,No,DMU,1,1,
5/27/2025 19:24:13,Mitchel S - SpaghettiMitch#18619,Ryan M - rrrn22#32842,2-0,,,,No,BRO,1,1,
5/27/2025 19:37:35,Maranda L - BlackCanary#59791,Wyatt C - hotdolphin#30769,2-0,,,,Yes,SNC,1,1,
5/27/2025 20:08:13,Chris R - Sinkwater#27508,Daniel G - FriskyHobbit#43185,2-1,,,,Yes,DMU,1,1,
5/27/2025 20:18:24,Nik S - njsiii#50504,Mitchel S - SpaghettiMitch#18619,2-1,,,,No,STX,1,1,
5/27/2025 21:32:53,Matt S - mullethunter324#49693,Matt St - bubbasbums#70462,2-0,,,,No,SNC,1,1,
5/27/2025 22:22:11,Matt St - bubbasbums#70462,Joe T - elasticity#07466,2-0,,,,No,NEO,1,1,
5/27/2025 23:02:52,Chris R - Sinkwater#27508,Matthew G - iluvatar777#20638,2-1,,,,Yes,NEO,1,1,
