Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
9/12/2023 14:39:04,Ben G - perrako#88435,Jaidin M - MnemonicDevice#38774,2-1,,1,,WOE,,,,,,
9/12/2023 16:35:44,Jordan M - JMTron#46639,John R - Ged#72302,2-0,,1,,WOE,,,,,,
9/12/2023 17:58:01,Damian S - ButCrackMagic#71223,James S - Zoid#33631,2-0,,1,,WOE,,,,,,
9/12/2023 18:58:26,James S - Zoid#33631,Jordan P - Chunkieluver53#92811,2-0,,1,,WOE,,,,,,
9/12/2023 19:29:02,James S - Zoid#33631,Edgar A - PlayfulTerror#04926,2-1,,1,,MOM,,,,,,
9/12/2023 19:39:26,Jordan M - JMTron#46639,Robert S - ricklepick#65878,2-0,,1,,WOE,,,,,,
9/12/2023 19:48:45,Nicholas K - Bionick#55161,Mike P - UnwieldyBiscuit#26471,2-0,,1,ggs,WOE,,,,,,
9/12/2023 20:28:51,Nicholas K - Bionick#55161,Devin L - Dalopi#45146,2-1,,1,,WOE,,,,,,
9/12/2023 20:29:33,Mitchel S - SpaghettiMitch#18619,Jordan M - JMTron#46639,2-0,,1,,WOE,,,,,,
9/12/2023 21:09:02,Devin L - Dalopi#45146,Mike P - UnwieldyBiscuit#26471,2-1,,1,,WOE,,,,,,
9/12/2023 21:17:26,Mitchel S - SpaghettiMitch#18619,Robert S - ricklepick#65878,2-0,,1,,WOE,,,,,,
9/12/2023 21:44:03,Juan Q - JuanCu#95616,Bob P - HIT#08120,2-1,,1,,WOE,,,,,,
9/12/2023 21:47:05,Sean Sp - Talrand#06333,Nicholas K - Bionick#55161,2-1,,1,,WOE,,,,,,
9/12/2023 22:10:38,Sean Sp - Talrand#06333,Mike P - UnwieldyBiscuit#26471,2-1,,1,,WOE,,,,,,
9/12/2023 22:25:59,Robert S - ricklepick#65878,Devin L - Dalopi#45146,2-0,,1,Great game!,WOE,,,,,,
9/12/2023 22:34:53,Damian S - ButCrackMagic#71223,Rafael F - Prudent#24319,2-1,,1,,WOE,,,,,,
9/12/2023 22:46:20,Michael M - Atombomb11991#07305,Sean Sp - Talrand#06333,2-1,,1,,WOE,,,,,,
9/12/2023 22:50:59,Joaquin E - DiabolicMachine#23891,Kyle C - AFKyle#29319,2-0,,1,,WOE,,,,,,
9/12/2023 23:07:03,Eric S - Smitte#94855,Drake M - KoMODO#43282,2-0,,1,,WOE,,,,,,
9/12/2023 23:20:32,Kyle C - AFKyle#29319,Jacob V - Drysle#29533,2-0,,1,,WOE,,,,,,
9/12/2023 23:23:50,Jordan M - JMTron#46639,Russell S - rstad#89052,2-0,,1,,WOE,,,,,,
9/13/2023 0:06:34,Sylvain T - Iquitos#15484,Drake M - KoMODO#43282,2-1,,1,GGS!,MOM,,,,,,
9/13/2023 11:03:17,Pierre-Marc D - pmduguay#67919,Jondrion J - jondrion#40531,2-0,,1,,WOE,,,,,,
9/13/2023 11:55:39,Jondrion J - jondrion#40531,Jon M - It'sMagic#46950,2-0,,1,,WOE,,,,,,
9/13/2023 12:41:08,Austin C - theCortine#41513,Jondrion J - jondrion#40531,2-0,,1,,WOE,,,,,,
9/13/2023 16:39:49,Richard K - preacher26#59445,Phillip M - Fat_kitty#63794,2-0,,1,,MOM,,,,,,
9/13/2023 16:58:44,Jon M - It'sMagic#46950,Jaidin M - MnemonicDevice#38774,2-1,,1,,MOM,,,,,,
9/13/2023 18:19:04,Paul G - TheDragon#61289,Chris R - Sinkwater#27508,2-0,,1,,WOE,,,,,,
9/13/2023 19:07:45,Wei C - Azayaka#83352,Robert S - ricklepick#65878,2-0,,1,,WOE,,,,,,
9/13/2023 19:33:32,Wei C - Azayaka#83352,Edgar A - PlayfulTerror#04926,2-0,,1,,WOE,,,,,,
9/13/2023 20:03:38,Robert M - LaughItUp#38462,Jordan P - Chunkieluver53#92811,2-1,,1,,WOE,,,,,,
9/13/2023 20:09:38,Michael M - Atombomb11991#07305,Wei C - Azayaka#83352,2-0,,1,,MOM,,,,,,
9/13/2023 20:46:01,Robert M - LaughItUp#38462,Wei C - Azayaka#83352,2-0,,1,,MOM,,,,,,
9/13/2023 20:47:19,Ryan W - MuttBunchies#61653,Drake M - KoMODO#43282,2-0,,1,,MOM,,,,,,
9/13/2023 21:13:35,Ryan W - MuttBunchies#61653,Robert M - LaughItUp#38462,2-1,,1,,ELD,,,,,,
9/13/2023 21:23:25,Wei C - Azayaka#83352,Richard K - preacher26#59445,2-0,,1,,MOM,,,,,,
9/13/2023 21:35:09,Drake M - KoMODO#43282,Zach G - ShardZ#61812,2-0,,1,,WOE,,,,,,
9/13/2023 22:22:03,Miguel B - Ethereus#60108,Chris R - Sinkwater#27508,2-1,,1,,WOE,,,,,,
9/13/2023 23:23:57,Eric S - Smitte#94855,Ron C - Lennor#52740,2-1,,1,,MOM,,,,,,
9/14/2023 1:24:33,Miguel B - Ethereus#60108,Vera L - zhanidias#55352,2-1,,1,,WOE,,,,,,
9/14/2023 12:57:35,John R - Ged#72302,Ryan D - TheSlickness#10857,2-1,,1,ggs,WOE,,,,,,
9/14/2023 15:25:10,Russell S - rstad#89052,Jon M - It'sMagic#46950,2-0,,1,,WOE,,,,,,
9/14/2023 18:56:06,Austin C - theCortine#41513,Jordan P - Chunkieluver53#92811,2-1,,1,,WOE,,,,,,
9/14/2023 19:44:28,Zach C - ZachCarr#31881,Zach G - ShardZ#61812,2-0,,1,,WOE,,,,,,
9/14/2023 20:09:08,Edgar A - PlayfulTerror#04926,Miguel B - Ethereus#60108,2-1,,1,Good games,WOE,,,,,,
9/14/2023 20:27:06,Zach C - ZachCarr#31881,Russell S - rstad#89052,2-0,,1,,WOE,,,,,,
9/14/2023 21:26:09,Chris R - Sinkwater#27508,Jason M - Experientialist#23057,2-0,,1,,WOE,,,,,,
9/14/2023 21:48:23,Chris R - Sinkwater#27508,Zach G - ShardZ#61812,2-0,,1,,WOE,,,,,,
9/14/2023 22:31:43,Chris R - Sinkwater#27508,Christopher G - oompaloompa#65002,2-0,,1,,MOM,,,,,,
9/14/2023 23:20:51,Christopher G - oompaloompa#65002,Chris P - Joker01#66827,2-1,,1,,WOE,,,,,,
9/14/2023 23:23:07,Zach G - ShardZ#61812,Sylvain T - Iquitos#15484,2-0,,1,,WOE,,,,,,
9/15/2023 0:05:19,Christopher G - oompaloompa#65002,Sylvain T - Iquitos#15484,2-1,,1,,WOE,,,,,,
9/15/2023 12:14:35,Tony G - YnotRock#76764,Eric S - Smitte#94855,2-1,,1,,MOM,,,,,,
9/15/2023 12:45:22,Tony G - YnotRock#76764,John R - Ged#72302,2-0,,1,,WOE,,,,,,
9/15/2023 13:51:03,Sean Sp - Talrand#06333,Warren M - LinkThePlaneswalker33#61905,2-1,,1,,WOE,,,,,,
9/15/2023 16:18:07,Tony G - YnotRock#76764,Shuo L - tamamo#30654,2-1,,1,,WOE,,,,,,
9/15/2023 17:06:17,Warren M - LinkThePlaneswalker33#61905,Shuo L - tamamo#30654,2-1,,1,,WOE,,,,,,
9/15/2023 17:29:15,Justin P - Code Pigeon#84057,Lotte P - Lotte #93345,2-0,,1,,MOM,,,,,,
9/15/2023 17:47:47,Caleb G - Whynaut#28590,Justin P - Code Pigeon#84057,2-1,,1,,MOM,,,,,,
9/15/2023 17:51:38,Paul G - TheDragon#61289,Wei C - Azayaka#83352,2-1,,1,,MOM,,,,,,
9/15/2023 17:55:14,Zach C - ZachCarr#31881,Cody-Rayce MG - Rayce#56572,2-0,,1,,MOM,,,,,,
9/15/2023 18:04:31,Warren M - LinkThePlaneswalker33#61905,Juan Q - JuanCu#95616,2-1,,1,,MOM,,,,,,
9/15/2023 18:10:50,Jon M - It'sMagic#46950,Caleb G - Whynaut#28590,2-0,,1,,MOM,,,,,,
9/15/2023 18:40:46,Chris P - Joker01#66827,Justin P - Code Pigeon#84057,2-1,,1,,MOM,,,,,,
9/15/2023 18:47:36,Juan Q - JuanCu#95616,Caleb G - Whynaut#28590,2-1,,1,,MOM,,,,,,
9/15/2023 19:28:10,Justin P - Code Pigeon#84057,Shuo L - tamamo#30654,2-0,,1,,WOE,,,,,,
9/15/2023 20:00:04,Caleb G - Whynaut#28590,Shuo L - tamamo#30654,2-0,,1,,WOE,,,,,,
9/15/2023 20:31:00,Philip B - Plipster#75000,Caleb G - Whynaut#28590,2-1,,1,,MOM,,,,,,
9/15/2023 20:34:47,Nik S - njsiii#50504,Wyatt C - hotdolphin#30769,2-0,,1,,WOE,,,,,,
9/15/2023 21:37:58,Zach C - ZachCarr#31881,Bob P - HIT#08120,2-1,,1,,MOM,,,,,,
9/15/2023 21:45:58,Justin P - Code Pigeon#84057,Dustin D - Bloone#16018,2-1,,1,,WOE,,,,,,
9/15/2023 22:30:27,Damian S - ButCrackMagic#71223,Dustin D - Bloone#16018,2-1,,1,,WOE,,,,,,
9/15/2023 22:53:59,Zach C - ZachCarr#31881,Jacob V - Drysle#29533,2-0,,1,,WOE,,,,,,
9/15/2023 23:10:21,Noah B - Sisco#71800,Drake M - KoMODO#43282,2-1,,1,,MOM,,,,,,
9/15/2023 23:22:26,Dustin D - Bloone#16018,Steve T - strout#45062,2-1,,1,,WOE,,,,,,
9/15/2023 23:46:26,Steve T - strout#45062,Drake M - KoMODO#43282,2-0,,1,GGs!,MOM,,,,,,
9/16/2023 0:27:34,Emmett F - Sepulchure#51526,Jaidin M - MnemonicDevice#38774,2-0,,1,,MOM,,,,,,
9/16/2023 0:32:16,Sean Sp - Talrand#06333,Drake M - KoMODO#43282,2-1,,1,,MOM,,,,,,
9/16/2023 0:49:02,Jack H - Rakic#98298,Warren M - LinkThePlaneswalker33#61905,2-1,,1,,MOM,,,,,,
9/16/2023 0:58:48,Christopher G - oompaloompa#65002,Sean Sp - Talrand#06333,2-0,,1,,WOE,,,,,,
9/16/2023 1:22:15,Drake M - KoMODO#43282,Emmett F - Sepulchure#51526,2-1,,1,,MOM,,,,,,
9/16/2023 1:50:07,Jack H - Rakic#98298,Damian S - ButCrackMagic#71223,2-0,,1,,WOE,,,,,,
9/16/2023 7:46:45,Nik S - njsiii#50504,Oskar T - Ossytubbi#87966,2-1,,1,,WOE,,,,,,
9/16/2023 11:19:04,Nik S - njsiii#50504,Kevin C - Keviiiiin#67886,2-1,,1,,WOE,,,,,,
